spot_id,spot_name,state,region,county_or_area,geocode_query,beach_orientation_deg,notes,preferred_ndbc_station,preferred_coops_station,geocode_query_original
66379118,Galveston (Stewart Beach),TX,Gulf Coast,,"Stewart Beach, Galveston, TX",,Wind dependent; small surf.,,,"Stewart Beach surf, Galveston, TX"
4ef7d180,Port Aransas,TX,Gulf Coast,,"Port Aransas, Port Aransas, TX",,Best with tropical swell; jetties help.,,,"Port Aransas surf, Port Aransas, TX"
6da251ae,South Padre Island,TX,Gulf Coast,,"South Padre Island, South Padre Island, TX",,Best in fall/winter fronts or tropical.,,,"South Padre Island surf, South Padre Island, TX"
6be308d8,Grand Isle,LA/AL/MS,Gulf Coast,,"Grand Isle, Grand Isle, LA",,Rare; best with tropical systems.,,,"Grand Isle surf, Grand Isle, LA"
a0bee51f,Dauphin Island,LA/AL/MS,Gulf Coast,,"Dauphin Island, Dauphin Island, AL",,Small; best with storms.,,,"Dauphin Island surf, Dauphin Island, AL"
116aa9c2,Gulfport,LA/AL/MS,Gulf Coast,,"Gulfport, Gulfport, MS",,Occasional; storm-driven.,,,"Gulfport surf, Gulfport, MS"
901c310c,Jacksonville Beach Pier,FL,Florida,,"Jacksonville Beach Pier, Jacksonville Beach, FL",,Consistent East Coast beachbreak.,,,"Jacksonville Beach Pier surf, Jacksonville Beach, FL"
cabcc120,St. Augustine Pier,FL,Florida,,"St Augustine Pier, St Augustine, FL",,Good sandbars; crowds.,,,"St Augustine Pier surf, St Augustine, FL"
5dfaab11,Cocoa Beach Pier,FL,Florida,,"Cocoa Beach Pier, Cocoa Beach, FL",,Classic; small-to-medium surf.,,,"Cocoa Beach Pier surf, Cocoa Beach, FL"
3852c912,Sebastian Inlet,FL,Florida,,"Sebastian Inlet, Sebastian, FL",,Quality; long right/left; tide critical.,,,"Sebastian Inlet surf, Sebastian, FL"
4e021d72,Ft. Pierce Inlet,FL,Florida,,"Fort Pierce Inlet, Fort Pierce, FL",,Good on swell; tide/ wind.,,,"Fort Pierce Inlet surf, Fort Pierce, FL"
2c70c7eb,Reef Road,FL,Florida,,"Reef Road, Palm Beach, FL",,Powerful; can be heavy.,,,"Reef Road surf, Palm Beach, FL"
da2e8d7d,Juno Pier,FL,Florida,,"Juno Beach Pier, Juno Beach, FL",,Fun peaks; consistent.,,,"Juno Beach Pier surf, Juno Beach, FL"
3891a0d7,Pompano Beach,FL,Florida,,"Pompano Beach, Pompano Beach, FL",,Wind/tide dependent.,,,"Pompano Beach surf, Pompano Beach, FL"
0c12abd7,Haulover,FL,Florida,,"Haulover Beach, Miami, FL",,Best Miami-area option; limited.,,,"Haulover Beach surf, Miami, FL"
9f8057a0,South Beach,FL,Florida,,"South Beach, Miami Beach, FL",,Occasional; storm swell.,,,"South Beach surf, Miami Beach, FL"
e7bdf1c0,Flagler Beach Pier,FL,Florida,,"Flagler Beach Pier, Flagler Beach, FL",,Peaky; sandbars.,,,"Flagler Beach Pier surf, Flagler Beach, FL"
eea06e3b,New Smyrna Beach (Inlet),FL,Florida,,"New Smyrna Beach Inlet, New Smyrna Beach, FL",,Very consistent; watch sharks.,,,"New Smyrna Beach Inlet surf, New Smyrna Beach, FL"
c1e23a29,Pensacola Beach,FL,Florida,,"Pensacola Beach, Pensacola, FL",,Gulf; best with storms/fronts.,,,"Pensacola Beach surf, Pensacola, FL"
db131e20,Panama City Beach,FL,Florida,,"Panama City Beach, Panama City Beach, FL",,Gulf; variable.,,,"Panama City Beach surf, Panama City Beach, FL"
4a53e4c8,Tybee Island,Various (East),East Coast,,"Tybee Island, Tybee Island, GA",,Small; best with storms.,,,"Tybee Island surf, Tybee Island, GA"
5ab90c30,Folly Beach Pier,Various (East),East Coast,,"Folly Beach Pier, Folly Beach, SC",,SC classic; consistent.,,,"Folly Beach Pier surf, Folly Beach, SC"
ab91d654,Isle of Palms,Various (East),East Coast,,"Isle of Palms, Isle of Palms, SC",,Peaky sandbars.,,,"Isle of Palms surf, Isle of Palms, SC"
ef5def68,Wrightsville Beach,Various (East),East Coast,,"Wrightsville Beach, Wrightsville Beach, NC",,Consistent beachbreak.,,,"Wrightsville Beach surf, Wrightsville Beach, NC"
ec1d7656,Carolina Beach,Various (East),East Coast,,"Carolina Beach, Carolina Beach, NC",,Peaky; good sandbars.,,,"Carolina Beach surf, Carolina Beach, NC"
724f0bb4,Outer Banks (Cape Hatteras),Various (East),East Coast,,"Cape Hatteras, Buxton, NC",,World-class; shifting sandbars.,,,"Cape Hatteras surf, Buxton, NC"
57ecd65f,Outer Banks (Nags Head),Various (East),East Coast,,"Nags Head, Nags Head, NC",,Consistent; many peaks.,,,"Nags Head surf, Nags Head, NC"
ee581d72,Outer Banks (Rodanthe),Various (East),East Coast,,"Rodanthe, Rodanthe, NC",,Peaky; great on swell.,,,"Rodanthe surf, Rodanthe, NC"
27d1756b,Virginia Beach,Various (East),East Coast,,"Virginia Beach, Virginia Beach, VA",,Best VA option; wind sensitive.,,,"Virginia Beach surf, Virginia Beach, VA"
3d8dbfe6,Ocean City Inlet,Various (East),East Coast,,"Ocean City Inlet, Ocean City, MD",,Quality when swell hits.,,,"Ocean City Inlet surf, Ocean City, MD"
31b2e45e,Rehoboth / Dewey,Various (East),East Coast,,"Dewey Beach, Dewey Beach, DE",,Small; best with storms.,,,"Dewey Beach surf, Dewey Beach, DE"
72c02afa,Atlantic City,Various (East),East Coast,,"Atlantic City, Atlantic City, NJ",,Peaky; sandbars.,,,"Atlantic City surf, Atlantic City, NJ"
cf49709e,Manasquan Inlet,Various (East),East Coast,,"Manasquan Inlet, Manasquan, NJ",,Reliable; jetties; crowded.,,,"Manasquan Inlet surf, Manasquan, NJ"
276b56b8,Belmar,Various (East),East Coast,,"Belmar, Belmar, NJ",,Peaky; sandbars.,,,"Belmar surf, Belmar, NJ"
cb4f3a2b,Montauk,Various (East),East Coast,,"Montauk, Montauk, NY",,Quality; many breaks; can be heavy.,,,"Montauk surf, Montauk, NY"
3a18cb25,Rockaway,Various (East),East Coast,,"Rockaway Beach, Queens, NY",,City surf; best on swell + winds.,,,"Rockaway Beach surf, Queens, NY"
5c3ffaac,Long Beach,Various (East),East Coast,,"Long Beach, Long Beach, NY",,Peaky beachbreak.,,,"Long Beach surf, Long Beach, NY"
7d6f87a4,Narragansett (Town Beach),Various (East),East Coast,,"Narragansett Town Beach, Narragansett, RI",,NE classic; consistent.,,,"Narragansett Town Beach surf, Narragansett, RI"
2a79549a,Newport (First Beach),Various (East),East Coast,,"Easton's Beach, Newport, RI",,Beachbreak; works on swell.,,,"Easton's Beach surf, Newport, RI"
9e099bc1,Hampton Beach,Various (East),East Coast,,"Hampton Beach, Hampton, NH",,NE beachbreak; cold water.,,,"Hampton Beach surf, Hampton, NH"
a7955aec,The Wall (NH),Various (East),East Coast,,"The Wall, Rye, NH",,Reef; good on swell.,,,"The Wall surf, Rye, NH"
6562d314,Nauset Beach,Various (East),East Coast,,"Nauset Beach, Orleans, MA",,Cape Cod classic; powerful.,,,"Nauset Beach surf, Orleans, MA"
77406136,Marconi Beach,Various (East),East Coast,,"Marconi Beach, Wellfleet, MA",,Cape Cod; strong currents.,,,"Marconi Beach surf, Wellfleet, MA"
93e6d530,Cape Ann (Good Harbor),Various (East),East Coast,,"Good Harbor Beach, Gloucester, MA",,Seasonal; cold water.,,,"Good Harbor Beach surf, Gloucester, MA"
d955e76e,New Jersey (Long Beach Island),Various (East),East Coast,,"Long Beach Island, NJ",,Many peaks; sandbars.,,,"Long Beach Island surf, NJ"
4b15c41e,Rhode Island (Ruggles),Various (East),East Coast,,"Ruggles, Newport, RI",,Reef; heavy; advanced.,,,"Ruggles surf, Newport, RI"
85cdabe3,Sheboygan,Great Lakes,Inland / Great Lakes,,"Sheboygan, Sheboygan, WI",,Freshwater surf; best in fall/winter winds.,,,"Sheboygan surf, Sheboygan, WI"
90981280,Duluth (Park Point),Great Lakes,Inland / Great Lakes,,"Park Point, Duluth, MN",,Freshwater; storm-driven.,,,"Park Point surf, Duluth, MN"
4378c60c,Chicago (Montrose),Great Lakes,Inland / Great Lakes,,"Montrose Beach, Chicago, IL",,Freshwater; wind swell.,,,"Montrose Beach surf, Chicago, IL"
e75a97ec,Jalama Beach,CA,Southern California,Santa Barbara,"Jalama Beach, Lompoc, CA",,Exposed; powerful; can be windy.,,,"Jalama Beach surf, Lompoc, CA"
8a8d7410,Refugio State Beach,CA,Southern California,Santa Barbara,"Refugio State Beach, Goleta, CA",,Protected; mellow; best on W swell.,,,"Refugio State Beach surf, Goleta, CA"
503b4730,El Capitan State Beach,CA,Southern California,Santa Barbara,"El Capitan State Beach, Goleta, CA",,Varied peaks; wind sensitive.,,,"El Capitan State Beach surf, Goleta, CA"
7531b246,Oil Piers,CA,Southern California,Santa Barbara,"Oil Piers, Summerland, CA",,Reef; long rights; tide/kelp.,,,"Oil Piers surf, Summerland, CA"
1b33d47b,Butterfly Beach,CA,Southern California,Santa Barbara,"Butterfly Beach, Montecito, CA",,Mellow; best small-med.,,,"Butterfly Beach surf, Montecito, CA"
6b3fd84a,Silver Strand,CA,Southern California,Ventura,"Silver Strand Beach, Oxnard, CA",,Beachbreak; can get punchy.,,,"Silver Strand Beach surf, Oxnard, CA"
2f1aca37,Hollywood Beach,CA,Southern California,Ventura,"Hollywood Beach, Oxnard, CA",,Peaky sandbars; good on NW.,,,"Hollywood Beach surf, Oxnard, CA"
703283da,Hueneme Jetty,CA,Southern California,Ventura,"Port Hueneme Jetty, Port Hueneme, CA",,Jetty peaks; good in winter.,,,"Port Hueneme Jetty surf, Port Hueneme, CA"
c7aa29e6,Oxnard Shores,CA,Southern California,Ventura,"Oxnard Shores, Oxnard, CA",,Sandbars; wind sensitive.,,,"Oxnard Shores surf, Oxnard, CA"
bd3b708f,Point Dume,CA,Southern California,Ventura,"Point Dume, Malibu, CA",,Point/reef; good on W/NW.,,,"Point Dume surf, Malibu, CA"
99724bc6,County Line,CA,Southern California,Los Angeles,"County Line Beach, Malibu, CA",,Consistent; handles swell; crowds.,,,"County Line Beach surf, Malibu, CA"
9e105c34,Latigo Point,CA,Southern California,Los Angeles,"Latigo Point, Malibu, CA",,Reef/point; can get hollow.,,,"Latigo Point surf, Malibu, CA"
cd4f412e,Will Rogers,CA,Southern California,Los Angeles,"Will Rogers State Beach, Pacific Palisades, CA",,Beachbreak; wind sensitive.,,,"Will Rogers State Beach surf, Pacific Palisades, CA"
533214d9,Dockweiler,CA,Southern California,Los Angeles,"Dockweiler State Beach, Playa del Rey, CA",,Beachbreak; can get peaky.,,,"Dockweiler State Beach surf, Playa del Rey, CA"
63a5173e,Torrance Beach,CA,Southern California,Los Angeles,"Torrance Beach, Torrance, CA",,Beachbreak; variable sand.,,,"Torrance Beach surf, Torrance, CA"
f4991403,Haggerty's,CA,Southern California,Los Angeles,"Haggerty's, Palos Verdes, CA",,Reef; advanced; locals.,,,"Haggerty's surf, Palos Verdes, CA"
45a44a2c,Indicators,CA,Southern California,Los Angeles,"Indicators, Rancho Palos Verdes, CA",,Reef; fast; advanced.,,,"Indicators surf, Rancho Palos Verdes, CA"
7f13c971,Cabrillo Beach,CA,Southern California,Los Angeles,"Cabrillo Beach, San Pedro, CA",,Sheltered; smaller; beginner-ish.,,,"Cabrillo Beach surf, San Pedro, CA"
f1bf0f62,Seal Beach Pier,CA,Southern California,Orange,"Seal Beach Pier, Seal Beach, CA",,Fun peaks; consistent-ish.,,,"Seal Beach Pier surf, Seal Beach, CA"
808795e8,Blackies (Newport),CA,Southern California,Orange,"Blackies By the Sea, Newport Beach, CA",,Mellow; longboard-friendly.,,,"Blackies By the Sea surf, Newport Beach, CA"
f554325c,Newport Jetties,CA,Southern California,Orange,"Newport Beach jetty, Newport Beach, CA",,Punchy peaks near jetties.,,,"Newport Beach jetty surf, Newport Beach, CA"
30764399,Laguna Beach (Brooks St.),CA,Southern California,Orange,"Brooks Street, Laguna Beach, CA",,Reef; fun on S swell.,,,"Brooks Street surf, Laguna Beach, CA"
51ddc85a,Laguna Beach (Thalia),CA,Southern California,Orange,"Thalia Street, Laguna Beach, CA",,Reef; can be hollow.,,,"Thalia Street surf, Laguna Beach, CA"
4a4ef8df,Aliso Creek,CA,Southern California,Orange,"Aliso Beach, Laguna Beach, CA",,Reef/shorebreak; powerful.,,,"Aliso Beach surf, Laguna Beach, CA"
debdda2f,Thousand Steps,CA,Southern California,Orange,"1000 Steps Beach, Laguna Beach, CA",,Reef; advanced; tide sensitive.,,,"1000 Steps Beach surf, Laguna Beach, CA"
33129657,San Clemente (Leslie's),CA,Southern California,Orange,"Leslies, San Clemente, CA",,Reef; good on S swell.,,,"Leslies surf, San Clemente, CA"
e4f41db7,San Clemente (146s),CA,Southern California,Orange,"146s, San Clemente, CA",,Reef; advanced sections.,,,"146s surf, San Clemente, CA"
4861224d,San Clemente (North of Pier),CA,Southern California,Orange,"Northside San Clemente Pier, San Clemente, CA",,Peaky sandbars.,,,"Northside San Clemente Pier surf, San Clemente, CA"
02e194d2,Dana Point (Killer Dana),CA,Southern California,Orange,"Killer Dana, Dana Point, CA",,Harbor reef; can be good; access varies.,,,"Killer Dana surf, Dana Point, CA"
574d7e8c,Oceanside (South Jetty),CA,Southern California,San Diego,"Oceanside South Jetty, Oceanside, CA",,Jetty peaks; can be punchy.,,,"Oceanside South Jetty surf, Oceanside, CA"
0ce73350,Pipes (San Diego),CA,Southern California,San Diego,"Pipes, Cardiff-by-the-Sea, CA",,Reefy peaks near Cardiff; local.,,,"Pipes surf, Cardiff-by-the-Sea, CA"
a9eb456c,Moonlight Beach,CA,Southern California,San Diego,"Moonlight Beach, Encinitas, CA",,Beachbreak; good for all levels.,,,"Moonlight Beach surf, Encinitas, CA"
9ad7ae03,D Street (South),CA,Southern California,San Diego,"D Street, San Diego, CA",,Beachbreak; variable.,,,"D Street surf, San Diego, CA"
a1b06e16,South Mission Jetty,CA,Southern California,San Diego,"South Mission Jetty, San Diego, CA",,Jetty peaks; good on swell.,,,"South Mission Jetty surf, San Diego, CA"
e4d0d552,Garbage / North OB,CA,Southern California,San Diego,"Garbage Beach, San Diego, CA",,Reef; can be heavy.,,,"Garbage Beach surf, San Diego, CA"
3bf3f6d2,Bird Rock,CA,Southern California,San Diego,"Bird Rock, La Jolla, CA",,Reef; powerful; advanced.,,,"Bird Rock surf, La Jolla, CA"
03026d4b,Imperial Beach (South),CA,Southern California,San Diego,"South Imperial Beach, Imperial Beach, CA",,Peaks; wind sensitive.,,,"South Imperial Beach surf, Imperial Beach, CA"
9261b1ad,Fort Point,CA,West Coast,,"Fort Point, San Francisco, CA",,Protected; best on big W swell; tide critical.,,,"Fort Point surf, San Francisco, CA"
44a07a12,Salmon Creek,CA,West Coast,,"Salmon Creek Beach, Sonoma County, CA",,Beachbreak; powerful.,,,"Salmon Creek Beach surf, Sonoma County, CA"
c7ff3d3c,Bodega Bay,CA,West Coast,,"Bodega Bay, Bodega Bay, CA",,Windy; seasonal peaks.,,,"Bodega Bay surf, Bodega Bay, CA"
ae3fc338,St. George Reef,CA,West Coast,,"St George Reef, Crescent City, CA",,Big wave region; cold; remote.,,,"St George Reef surf, Crescent City, CA"
1a83fb36,South Beach (Trinidad),CA,West Coast,,"Trinidad South Beach, Trinidad, CA",,Beachbreak; fickle.,,,"Trinidad South Beach surf, Trinidad, CA"
6097bd80,Arcata / Samoa,CA,West Coast,,"Samoa Beach, Arcata, CA",,Beachbreak; heavy; wind.,,,"Samoa Beach surf, Arcata, CA"
8286cded,Santa Rosa Island (Johnson's Lee),CA,West Coast,,"Johnson's Lee, Santa Rosa Island, CA",,Remote; boat/permit logistics.,,,"Johnson's Lee surf, Santa Rosa Island, CA"
a33bfb63,Santa Cruz (Four Mile),CA,West Coast,,"Four Mile, Santa Cruz, CA",,Reef; handles swell.,,,"Four Mile surf, Santa Cruz, CA"
e33f990f,Santa Cruz (Waddell Creek),CA,West Coast,,"Waddell Creek, Davenport, CA",,Windy; great for kitesurf/windswell.,,,"Waddell Creek surf, Davenport, CA"
c678aad8,Half Moon Bay (Montara State?),CA,West Coast,,"Half Moon Bay, Half Moon Bay, CA",,Multiple breaks; winter swells.,,,"Half Moon Bay surf, Half Moon Bay, CA"
4e225640,Agate Beach,OR,Pacific Northwest,,"Agate Beach, Newport, OR",,Beachbreak; consistent.,,,"Agate Beach surf, Newport, OR"
ac2724c6,Gleneden Beach,OR,Pacific Northwest,,"Gleneden Beach, Gleneden Beach, OR",,Beachbreak; storm surf.,,,"Gleneden Beach surf, Gleneden Beach, OR"
50ac166a,Florence South Jetty,OR,Pacific Northwest,,"South Jetty, Florence, OR",,Jetty peaks; can be good.,,,"South Jetty surf, Florence, OR"
2aa50bd5,Brookings,OR,Pacific Northwest,,"Brookings, Brookings, OR",,South coast; variable.,,,"Brookings surf, Brookings, OR"
293f5777,Westport (Jetty),WA,Pacific Northwest,,"Westport Jetty, Westport, WA",,Jetty wave; better shape.,,,"Westport Jetty surf, Westport, WA"
7c211ac2,Westport (Half Moon Bay),WA,Pacific Northwest,,"Half Moon Bay, Westport, WA",,Beachbreak; consistent.,,,"Half Moon Bay surf, Westport, WA"
f86641a7,Kalaloch,WA,Pacific Northwest,,"Kalaloch Beach, Olympic Peninsula, WA",,Remote; variable.,,,"Kalaloch Beach surf, Olympic Peninsula, WA"
d9a8d282,Laniakea,HI,Hawaii,,"Laniakea, Oahu, HI",,North Shore reef; strong currents.,,,"Laniakea surf, Oahu, HI"
dad013c1,Chun's Reef,HI,Hawaii,,"Chuns Reef, Oahu, HI",,Friendly reef; longboard to shortboard.,,,"Chuns Reef surf, Oahu, HI"
ca7eafc1,Pupukea,HI,Hawaii,,"Pupukea, Oahu, HI",,Reef; can be hollow.,,,"Pupukea surf, Oahu, HI"
c8b382bd,Makapu'u,HI,Hawaii,,"Makapuu, Oahu, HI",,Shorebreak; best in winter.,,,"Makapuu surf, Oahu, HI"
4084d5d7,Kaimana,HI,Hawaii,,"Kaimana Beach, Honolulu, HI",,Waikiki area; longboard waves.,,,"Kaimana Beach surf, Honolulu, HI"
2f0ce54d,Spreckelsville,HI,Hawaii,,"Spreckelsville, Maui, HI",,Wind; reef; advanced.,,,"Spreckelsville surf, Maui, HI"
b7d85543,Lahaina Harbor,HI,Hawaii,,"Lahaina Harbor, Maui, HI",,Small; reefs nearby.,,,"Lahaina Harbor surf, Maui, HI"
90e8d1e6,Kahului Harbor,HI,Hawaii,,"Kahului Harbor, Maui, HI",,Reef/harbor; locals.,,,"Kahului Harbor surf, Maui, HI"
a0eeb7f2,Polihale,HI,Hawaii,,"Polihale State Park, Kauai, HI",,Remote; powerful beachbreak.,,,"Polihale State Park surf, Kauai, HI"
65afcc83,Shipwrecks,HI,Hawaii,,"Shipwrecks, Poipu, Kauai, HI",,Reef; good on S swell.,,,"Shipwrecks surf, Poipu, Kauai, HI"
3b37e903,Daytona Beach,FL,Florida,,"Daytona Beach, Daytona Beach, FL",,Peaky; sandbars; crowds.,,,"Daytona Beach surf, Daytona Beach, FL"
c67093e4,Ponce Inlet,FL,Florida,,"Ponce Inlet, Ponce Inlet, FL",,Jetty/inlet; good shape.,,,"Ponce Inlet surf, Ponce Inlet, FL"
5bbe5ddd,Satellite Beach,FL,Florida,,"Satellite Beach, Satellite Beach, FL",,Breward peaks; consistent.,,,"Satellite Beach surf, Satellite Beach, FL"
f8a6b04b,Indialantic,FL,Florida,,"Indialantic, Indialantic, FL",,Peaky beachbreak.,,,"Indialantic surf, Indialantic, FL"
890d7f6b,Clearwater Beach,FL,Florida,,"Clearwater Beach, Clearwater, FL",,Gulf; small; storm-driven.,,,"Clearwater Beach surf, Clearwater, FL"
a8d4749c,St. Pete Beach,FL,Florida,,"St Pete Beach, St Pete Beach, FL",,Gulf; occasional.,,,"St Pete Beach surf, St Pete Beach, FL"
37036a14,Asbury Park,Various (East),East Coast,,"Asbury Park, Asbury Park, NJ",,Jetties help; peaky.,,,"Asbury Park surf, Asbury Park, NJ"
7ce23989,Sandy Hook,Various (East),East Coast,,"Sandy Hook, Highlands, NJ",,Multiple breaks; wind-dependent.,,,"Sandy Hook surf, Highlands, NJ"
eb44b450,Long Branch,Various (East),East Coast,,"Long Branch, Long Branch, NJ",,Beachbreak; peaks.,,,"Long Branch surf, Long Branch, NJ"
01883b1e,Cape May,Various (East),East Coast,,"Cape May, Cape May, NJ",,South Jersey; best with swell.,,,"Cape May surf, Cape May, NJ"
845aa027,Fire Island,Various (East),East Coast,,"Fire Island, NY",,Sandbars; long peaks.,,,"Fire Island surf, NY"
141360af,Long Beach (NJ),Various (East),East Coast,,"Long Beach Township, NJ",,Many peaks; sandbars.,,,"Long Beach Township surf, NJ"
4d1d2245,Cape Cod (Coast Guard Beach),Various (East),East Coast,,"Coast Guard Beach, Eastham, MA",,Powerful; cold; rips.,,,"Coast Guard Beach surf, Eastham, MA"
ab968e1e,Maine (Ogunquit),Various (East),East Coast,,"Ogunquit, Ogunquit, ME",,Seasonal; reefs/points nearby.,,,"Ogunquit surf, Ogunquit, ME"
d8c67f5f,Maine (Higgins Beach),Various (East),East Coast,,"Higgins Beach, Scarborough, ME",,Classic Maine spot; cold water.,,,"Higgins Beach surf, Scarborough, ME"
dbcd086e,New Jersey (Avalon),Various (East),East Coast,,"Avalon, Avalon, NJ",,Sandbars; peaks.,,,"Avalon surf, Avalon, NJ"
df3bf6d5,NC (Jennette's Pier),Various (East),East Coast,,"Jennette's Pier, Nags Head, NC",,Consistent; pier peaks.,,,"Jennette's Pier surf, Nags Head, NC"
a38d3e3c,NC (Cape Lookout),Various (East),East Coast,,"Cape Lookout, NC",,Remote; great sandbars.,,,"Cape Lookout surf, NC"
29b939fc,SC (Isle of Palms Pier),Various (East),East Coast,,"Isle of Palms Pier, Isle of Palms, SC",,Pier peaks; consistent.,,,"Isle of Palms Pier surf, Isle of Palms, SC"
b04ae892,Pensacola Pier,Gulf,Gulf Coast,,"Pensacola Beach Pier, Pensacola Beach, FL",,Gulf; best with storms.,,,"Pensacola Beach Pier surf, Pensacola Beach, FL"
44441277,Navarre Beach,Gulf,Gulf Coast,,"Navarre Beach, Navarre, FL",,Gulf; variable.,,,"Navarre Beach surf, Navarre, FL"
c6bfa99f,Gulf Shores,Gulf,Gulf Coast,,"Gulf Shores, Gulf Shores, AL",,Gulf; occasional.,,,"Gulf Shores surf, Gulf Shores, AL"
ed47028e,Grand Haven,Great Lakes,Inland / Great Lakes,,"Grand Haven, Grand Haven, MI",,Freshwater; wind swell.,,,"Grand Haven surf, Grand Haven, MI"
130a9eeb,St. Joseph,Great Lakes,Inland / Great Lakes,,"St Joseph, St Joseph, MI",,Freshwater; best in fall.,,,"St Joseph surf, St Joseph, MI"
6d1e4843,Cleveland (Edgewater),Great Lakes,Inland / Great Lakes,,"Edgewater Park, Cleveland, OH",,Freshwater; storm winds.,,,"Edgewater Park surf, Cleveland, OH"
ee2bf79c,Buffalo (Woodlawn),Great Lakes,Inland / Great Lakes,,"Woodlawn Beach, Buffalo, NY",,Freshwater; wind swell.,,,"Woodlawn Beach surf, Buffalo, NY"
